Word-1: bölge, Word-1-Size: 205, Word-2: adliye, Word-2-Size: 205, Bigram-Words: ('bölge', 'adliye'), Bigram-Words-Size: 204, Mutual Information 7.338691236655595
Word-1: yargılama, Word-1-Size: 98, Word-2: davanın, Word-2-Size: 218, Bigram-Words: ('yargılama', 'davanın'), Bigram-Words-Size: 45, Mutual Information 6.134185021132532
Word-1: dosyadaki, Word-1-Size: 50, Word-2: belgeler, Word-2-Size: 68, Bigram-Words: ('dosyadaki', 'belgeler'), Bigram-Words-Size: 45, Mutual Information 8.785760158999603
Word-1: kamulaştırma, Word-1-Size: 144, Word-2: bedelinin, Word-2-Size: 96, Bigram-Words: ('kamulaştırma', 'bedelinin'), Bigram-Words-Size: 45, Mutual Information 6.762191687861198
Word-1: ilişkin, Word-1-Size: 226, Word-2: ilk, Word-2-Size: 102, Bigram-Words: ('ilişkin', 'ilk'), Bigram-Words-Size: 45, Mutual Information 6.024474885637983
Word-1: maddesine, Word-1-Size: 75, Word-2: dayanan, Word-2-Size: 45, Bigram-Words: ('maddesine', 'dayanan'), Bigram-Words-Size: 44, Mutual Information 8.763985925506732
Word-1: dayanan, Word-1-Size: 45, Word-2: kamulaştırma, Word-2-Size: 144, Bigram-Words: ('dayanan', 'kamulaştırma'), Bigram-Words-Size: 44, Mutual Information 7.822879614560302
Word-1: davasından, Word-1-Size: 44, Word-2: dolayı, Word-2-Size: 64, Bigram-Words: ('davasından', 'dolayı'), Bigram-Words-Size: 44, Mutual Information 9.025226093694991
Word-1: dolayı, Word-1-Size: 64, Word-2: yapılan, Word-2-Size: 189, Bigram-Words: ('dolayı', 'yapılan'), Bigram-Words-Size: 44, Mutual Information 6.922415288111217
Word-1: belgeler, Word-1-Size: 68, Word-2: okunup, Word-2-Size: 45, Bigram-Words: ('belgeler', 'okunup'), Bigram-Words-Size: 44, Mutual Information 8.905341774752275
Word-1: okunup, Word-1-Size: 45, Word-2: uyuşmazlık, Word-2-Size: 67, Bigram-Words: ('okunup', 'uyuşmazlık'), Bigram-Words-Size: 44, Mutual Information 8.926715425544842
Word-1: uyuşmazlık, Word-1-Size: 67, Word-2: anlaşıldıktan, Word-2-Size: 44, Bigram-Words: ('uyuşmazlık', 'anlaşıldıktan'), Bigram-Words-Size: 44, Mutual Information 8.95913690323722
Word-1: anlaşıldıktan, Word-1-Size: 44, Word-2: sonra, Word-2-Size: 116, Bigram-Words: ('anlaşıldıktan', 'sonra'), Bigram-Words-Size: 44, Mutual Information 8.16724509856742
Word-1: sonra, Word-1-Size: 116, Word-2: gereği, Word-2-Size: 103, Bigram-Words: ('sonra', 'gereği'), Bigram-Words-Size: 44, Mutual Information 6.940176190021498
Word-1: üzerine, Word-1-Size: 73, Word-2: bölge, Word-2-Size: 205, Bigram-Words: ('üzerine', 'bölge'), Bigram-Words-Size: 43, Mutual Information 6.582186190011626
Word-1: istenilmiş, Word-1-Size: 45, Word-2: dosyadaki, Word-2-Size: 50, Bigram-Words: ('istenilmiş', 'dosyadaki'), Bigram-Words-Size: 43, Mutual Information 9.31578156229269
Word-1: bedelinin, Word-1-Size: 96, Word-2: tespiti, Word-2-Size: 59, Bigram-Words: ('bedelinin', 'tespiti'), Bigram-Words-Size: 42, Mutual Information 7.949937966390754
Word-1: türk, Word-1-Size: 51, Word-2: medenî, Word-2-Size: 42, Bigram-Words: ('türk', 'medenî'), Bigram-Words-Size: 42, Mutual Information 9.352800751723496
Word-1: karar, Word-1-Size: 509, Word-2: sayılı, Word-2-Size: 509, Bigram-Words: ('karar', 'sayılı'), Bigram-Words-Size: 41, Mutual Information 2.3997344061616848
Word-1: müştereken, Word-1-Size: 41, Word-2: müteselsilen, Word-2-Size: 44, Bigram-Words: ('müştereken', 'müteselsilen'), Bigram-Words-Size: 41, Mutual Information 9.565794475057695
Word-1: derece, Word-1-Size: 136, Word-2: mahkemesince, Word-2-Size: 85, Bigram-Words: ('derece', 'mahkemesince'), Bigram-Words-Size: 41, Mutual Information 6.885924320925034
Word-1: itirazları, Word-1-Size: 47, Word-2: yerinde, Word-2-Size: 75, Bigram-Words: ('itirazları', 'yerinde'), Bigram-Words-Size: 40, Mutual Information 8.563746646408836
Word-1: vekilince, Word-1-Size: 85, Word-2: verilen, Word-2-Size: 204, Bigram-Words: ('vekilince', 'verilen'), Bigram-Words-Size: 39, Mutual Information 6.228812034448043
Word-1: verilen, Word-1-Size: 204, Word-2: dilekçe, Word-2-Size: 43, Bigram-Words: ('verilen', 'dilekçe'), Bigram-Words-Size: 39, Mutual Information 7.211938215883647
Word-1: dilekçe, Word-1-Size: 43, Word-2: istenilmiş, Word-2-Size: 45, Bigram-Words: ('dilekçe', 'istenilmiş'), Bigram-Words-Size: 39, Mutual Information 9.392510461525468
Word-1: olduğu, Word-1-Size: 139, Word-2: gerekçesiyle, Word-2-Size: 54, Bigram-Words: ('olduğu', 'gerekçesiyle'), Bigram-Words-Size: 39, Mutual Information 7.436799737670264
Word-1: dava, Word-1-Size: 208, Word-2: tarihinden, Word-2-Size: 86, Bigram-Words: ('dava', 'tarihinden'), Bigram-Words-Size: 38, Mutual Information 6.146449134295387
Word-1: davalı, Word-1-Size: 391, Word-2: vekilinin, Word-2-Size: 157, Bigram-Words: ('davalı', 'vekilinin'), Bigram-Words-Size: 38, Mutual Information 4.367508060939598
Word-1: temyiz, Word-1-Size: 346, Word-2: itirazlarının, Word-2-Size: 38, Bigram-Words: ('temyiz', 'itirazlarının'), Bigram-Words-Size: 38, Mutual Information 6.590597866058268
Word-1: davalı, Word-1-Size: 391, Word-2: vekili, Word-2-Size: 116, Bigram-Words: ('davalı', 'vekili'), Bigram-Words-Size: 37, Mutual Information 4.765673666889017
Word-1: derece, Word-1-Size: 136, Word-2: mahkemesinin, Word-2-Size: 171, Bigram-Words: ('derece', 'mahkemesinin'), Bigram-Words-Size: 37, Mutual Information 5.729364103187704
Word-1: açıklanan, Word-1-Size: 88, Word-2: nedenlerle, Word-2-Size: 42, Bigram-Words: ('açıklanan', 'nedenlerle'), Bigram-Words-Size: 37, Mutual Information 8.382930417907884
Word-1: hukuk, Word-1-Size: 374, Word-2: mahkemesince, Word-2-Size: 85, Bigram-Words: ('hukuk', 'mahkemesince'), Bigram-Words-Size: 37, Mutual Information 5.278394063298603
Word-1: tespiti, Word-1-Size: 59, Word-2: kamulaştırılan, Word-2-Size: 37, Bigram-Words: ('tespiti', 'kamulaştırılan'), Bigram-Words-Size: 37, Mutual Information 9.14258304433315
Word-1: kamulaştırılan, Word-1-Size: 37, Word-2: taşınmazın, Word-2-Size: 131, Bigram-Words: ('kamulaştırılan', 'taşınmazın'), Bigram-Words-Size: 37, Mutual Information 7.991803092157541
Word-1: vekilince, Word-1-Size: 85, Word-2: temyiz, Word-2-Size: 346, Bigram-Words: ('vekilince', 'temyiz'), Bigram-Words-Size: 37, Mutual Information 5.390660295549515
Word-1: parsel, Word-1-Size: 46, Word-2: sayılı, Word-2-Size: 509, Bigram-Words: ('parsel', 'sayılı'), Bigram-Words-Size: 36, Mutual Information 5.680067293004596
Word-1: alınan, Word-1-Size: 72, Word-2: temyiz, Word-2-Size: 346, Bigram-Words: ('alınan', 'temyiz'), Bigram-Words-Size: 36, Mutual Information 5.590597866058267
Word-1: dair, Word-1-Size: 82, Word-2: verilen, Word-2-Size: 204, Bigram-Words: ('dair', 'verilen'), Bigram-Words-Size: 35, Mutual Information 6.12453176405038
Word-1: ada, Word-1-Size: 42, Word-2: parsel, Word-2-Size: 46, Bigram-Words: ('ada', 'parsel'), Bigram-Words-Size: 35, Mutual Information 9.238629731804185
Word-1: kanununun, Word-1-Size: 107, Word-2: maddesi, Word-2-Size: 293, Bigram-Words: ('kanununun', 'maddesi'), Bigram-Words-Size: 35, Mutual Information 5.218285269816564
Word-1: başvurusu, Word-1-Size: 38, Word-2: üzerine, Word-2-Size: 73, Bigram-Words: ('başvurusu', 'üzerine'), Bigram-Words-Size: 35, Mutual Information 8.716757038316356
Word-1: istinaf, Word-1-Size: 151, Word-2: başvurusu, Word-2-Size: 38, Bigram-Words: ('istinaf', 'başvurusu'), Bigram-Words-Size: 35, Mutual Information 7.668176857871294
Word-1: medenî, Word-1-Size: 42, Word-2: kanununun, Word-2-Size: 107, Bigram-Words: ('medenî', 'kanununun'), Bigram-Words-Size: 35, Mutual Information 8.02072470146005
Word-1: kararına, Word-1-Size: 48, Word-2: karşı, Word-2-Size: 91, Bigram-Words: ('kararına', 'karşı'), Bigram-Words-Size: 34, Mutual Information 8.019931794025478
Word-1: yukarıda, Word-1-Size: 88, Word-2: açıklanan, Word-2-Size: 88, Bigram-Words: ('yukarıda', 'açıklanan'), Bigram-Words-Size: 34, Mutual Information 7.193825697670737
Word-1: bir, Word-1-Size: 267, Word-2: isabetsizlik, Word-2-Size: 34, Bigram-Words: ('bir', 'isabetsizlik'), Bigram-Words-Size: 34, Mutual Information 6.964530162007438
Word-1: olarak, Word-1-Size: 287, Word-2: verilen, Word-2-Size: 204, Bigram-Words: ('olarak', 'verilen'), Bigram-Words-Size: 34, Mutual Information 4.275356666298148
Word-1: gerekçesiyle, Word-1-Size: 54, Word-2: yetkisizlik, Word-2-Size: 76, Bigram-Words: ('gerekçesiyle', 'yetkisizlik'), Bigram-Words-Size: 34, Mutual Information 8.109873919338277
Word-1: gün, Word-1-Size: 124, Word-2: sayılı, Word-2-Size: 509, Bigram-Words: ('gün', 'sayılı'), Bigram-Words-Size: 33, Mutual Information 4.123902056590874
Word-1: vekilinin, Word-1-Size: 157, Word-2: istinaf, Word-2-Size: 151, Bigram-Words: ('vekilinin', 'istinaf'), Bigram-Words-Size: 33, Mutual Information 5.536594724836739
Word-1: kısıtlının, Word-1-Size: 40, Word-2: yerleşim, Word-2-Size: 70, Bigram-Words: ('kısıtlının', 'yerleşim'), Bigram-Words-Size: 33, Mutual Information 8.618409101221117
Word-1: reddine, Word-1-Size: 154, Word-2: dair, Word-2-Size: 82, Bigram-Words: ('reddine', 'dair'), Bigram-Words-Size: 32, Mutual Information 6.4008875483820065
Word-1: davanın, Word-1-Size: 218, Word-2: reddine, Word-2-Size: 154, Bigram-Words: ('davanın', 'reddine'), Bigram-Words-Size: 32, Mutual Information 4.990255228223164
Word-1: tahsili, Word-1-Size: 65, Word-2: davacıya, Word-2-Size: 60, Bigram-Words: ('tahsili', 'davacıya'), Bigram-Words-Size: 32, Mutual Information 8.09596768505802
Word-1: kararın, Word-1-Size: 110, Word-2: dayandığı, Word-2-Size: 37, Bigram-Words: ('kararın', 'dayandığı'), Bigram-Words-Size: 32, Mutual Information 8.034413014541382
Word-1: mahkemesinin, Word-1-Size: 171, Word-2: kararına, Word-2-Size: 48, Bigram-Words: ('mahkemesinin', 'kararına'), Bigram-Words-Size: 32, Mutual Information 7.022411078087938
Word-1: mahkemesinin, Word-1-Size: 171, Word-2: sayılı, Word-2-Size: 509, Bigram-Words: ('mahkemesinin', 'sayılı'), Bigram-Words-Size: 32, Mutual Information 3.6158517327333985
Word-1: tarafından, Word-1-Size: 153, Word-2: yapılan, Word-2-Size: 189, Bigram-Words: ('tarafından', 'yapılan'), Bigram-Words-Size: 31, Mutual Information 5.159792137168143
Word-1: karar, Word-1-Size: 509, Word-2: verilmiş, Word-2-Size: 73, Bigram-Words: ('karar', 'verilmiş'), Bigram-Words-Size: 31, Mutual Information 4.798075999126154
Word-1: karara, Word-1-Size: 70, Word-2: karşı, Word-2-Size: 91, Bigram-Words: ('karara', 'karşı'), Bigram-Words-Size: 31, Mutual Information 7.342344746938204
Word-1: dava, Word-1-Size: 208, Word-2: konusu, Word-2-Size: 74, Bigram-Words: ('dava', 'konusu'), Bigram-Words-Size: 31, Mutual Information 6.069529320311825
Word-1: ayrı, Word-1-Size: 67, Word-2: ayrı, Word-2-Size: 67, Bigram-Words: ('ayrı', 'ayrı'), Bigram-Words-Size: 31, Mutual Information 7.847244023166322
Word-1: usul, Word-1-Size: 58, Word-2: yasaya, Word-2-Size: 37, Bigram-Words: ('usul', 'yasaya'), Bigram-Words-Size: 31, Mutual Information 8.911988043325344
Word-1: adına, Word-1-Size: 61, Word-2: tescili, Word-2-Size: 31, Bigram-Words: ('adına', 'tescili'), Bigram-Words-Size: 31, Mutual Information 9.094488756132105
Word-1: tespit, Word-1-Size: 75, Word-2: edilen, Word-2-Size: 74, Bigram-Words: ('tespit', 'edilen'), Bigram-Words-Size: 31, Mutual Information 7.5411503479570365
Word-1: açılan, Word-1-Size: 47, Word-2: davada, Word-2-Size: 85, Bigram-Words: ('açılan', 'davada'), Bigram-Words-Size: 31, Mutual Information 8.015442616266528
Word-1: davanın, Word-1-Size: 218, Word-2: kısmen, Word-2-Size: 43, Bigram-Words: ('davanın', 'kısmen'), Bigram-Words-Size: 30, Mutual Information 6.737667609824486
Word-1: tapu, Word-1-Size: 110, Word-2: kaydının, Word-2-Size: 30, Bigram-Words: ('tapu', 'kaydının'), Bigram-Words-Size: 30, Mutual Information 8.243866380170331
Word-1: avans, Word-1-Size: 30, Word-2: faizi, Word-2-Size: 55, Bigram-Words: ('avans', 'faizi'), Bigram-Words-Size: 30, Mutual Information 9.243866380170331
Word-1: mahkemesince, Word-1-Size: 85, Word-2: davanın, Word-2-Size: 218, Bigram-Words: ('mahkemesince', 'davanın'), Bigram-Words-Size: 30, Mutual Information 5.754541428388882
Word-1: istemine, Word-1-Size: 59, Word-2: i̇lk, Word-2-Size: 45, Bigram-Words: ('istemine', 'i̇lk'), Bigram-Words-Size: 30, Mutual Information 8.557620543611995
Word-1: temyize, Word-1-Size: 33, Word-2: başvurma, Word-2-Size: 30, Bigram-Words: ('temyize', 'başvurma'), Bigram-Words-Size: 30, Mutual Information 9.980831974336539
Word-1: hazineye, Word-1-Size: 32, Word-2: irad, Word-2-Size: 30, Bigram-Words: ('hazineye', 'irad'), Bigram-Words-Size: 30, Mutual Information 10.025226093694991
Word-1: irad, Word-1-Size: 30, Word-2: gününde, Word-2-Size: 85, Bigram-Words: ('irad', 'gününde'), Bigram-Words-Size: 30, Mutual Information 8.61583515755729
Word-1: kamulaştırmasız, Word-1-Size: 30, Word-2: el, Word-2-Size: 36, Bigram-Words: ('kamulaştırmasız', 'el'), Bigram-Words-Size: 30, Mutual Information 9.85530109225268
Word-1: karar, Word-1-Size: 509, Word-2: verilmesi, Word-2-Size: 56, Bigram-Words: ('karar', 'verilmesi'), Bigram-Words-Size: 29, Mutual Information 5.084330320689264
Word-1: davanın, Word-1-Size: 218, Word-2: reddini, Word-2-Size: 30, Bigram-Words: ('davanın', 'reddini'), Bigram-Words-Size: 29, Mutual Information 7.208132168437119
Word-1: davacı, Word-1-Size: 329, Word-2: vekilinin, Word-2-Size: 157, Bigram-Words: ('davacı', 'vekilinin'), Bigram-Words-Size: 29, Mutual Information 4.226642566195696
Word-1: hukuk, Word-1-Size: 374, Word-2: dairesinin, Word-2-Size: 29, Bigram-Words: ('hukuk', 'dairesinin'), Bigram-Words-Size: 29, Mutual Information 6.478331633807355
Word-1: davacıya, Word-1-Size: 60, Word-2: davacı, Word-2-Size: 329, Bigram-Words: ('davacıya', 'davacı'), Bigram-Words-Size: 29, Mutual Information 5.614372719478804
Word-1: birlikte, Word-1-Size: 81, Word-2: davalılar, Word-2-Size: 74, Bigram-Words: ('birlikte', 'davalılar'), Bigram-Words-Size: 29, Mutual Information 7.33390372030899
Word-1: idare, Word-1-Size: 178, Word-2: adına, Word-2-Size: 61, Bigram-Words: ('idare', 'adına'), Bigram-Words-Size: 29, Mutual Information 6.47673632029328
Word-1: mahkemesinin, Word-1-Size: 171, Word-2: hukuk, Word-2-Size: 374, Bigram-Words: ('mahkemesinin', 'hukuk'), Bigram-Words-Size: 29, Mutual Information 3.9184601140490294
Word-1: sair, Word-1-Size: 31, Word-2: temyiz, Word-2-Size: 346, Bigram-Words: ('sair', 'temyiz'), Bigram-Words-Size: 28, Mutual Information 6.443756477728996
Word-1: destekten, Word-1-Size: 29, Word-2: yoksun, Word-2-Size: 54, Bigram-Words: ('destekten', 'yoksun'), Bigram-Words-Size: 28, Mutual Information 9.219712518461556
Word-1: işleyecek, Word-1-Size: 78, Word-2: avans, Word-2-Size: 30, Bigram-Words: ('işleyecek', 'avans'), Bigram-Words-Size: 28, Mutual Information 8.640288201281829
Word-1: müteselsilen, Word-1-Size: 44, Word-2: tahsili, Word-2-Size: 65, Bigram-Words: ('müteselsilen', 'tahsili'), Bigram-Words-Size: 28, Mutual Information 8.350781584086844
Word-1: dosyada, Word-1-Size: 67, Word-2: bulunan, Word-2-Size: 79, Bigram-Words: ('dosyada', 'bulunan'), Bigram-Words-Size: 28, Mutual Information 7.462711077117721
Word-1: karar, Word-1-Size: 509, Word-2: bölge, Word-2-Size: 205, Bigram-Words: ('karar', 'bölge'), Bigram-Words-Size: 27, Mutual Information 3.109111650277319
Word-1: davasının, Word-1-Size: 46, Word-2: kabulü, Word-2-Size: 110, Bigram-Words: ('davasının', 'kabulü'), Bigram-Words-Size: 27, Mutual Information 7.475191926276788
Word-1: kabulü, Word-1-Size: 110, Word-2: tazminatın, Word-2-Size: 68, Bigram-Words: ('kabulü', 'tazminatın'), Bigram-Words-Size: 27, Mutual Information 6.911291041083461
Word-1: tazminatın, Word-1-Size: 68, Word-2: dava, Word-2-Size: 208, Bigram-Words: ('tazminatın', 'dava'), Bigram-Words-Size: 27, Mutual Information 5.992211036467029
Word-1: itibaren, Word-1-Size: 79, Word-2: davalı, Word-2-Size: 391, Bigram-Words: ('itibaren', 'davalı'), Bigram-Words-Size: 27, Mutual Information 4.865308050374005
Word-1: istinaf, Word-1-Size: 151, Word-2: isteminin, Word-2-Size: 36, Bigram-Words: ('istinaf', 'isteminin'), Bigram-Words-Size: 27, Mutual Information 7.371783855091069
Word-1: bulunan, Word-1-Size: 79, Word-2: kanıt, Word-2-Size: 27, Bigram-Words: ('bulunan', 'kanıt'), Bigram-Words-Size: 27, Mutual Information 8.721445345517889
Word-1: vesayet, Word-1-Size: 65, Word-2: dairelerine, Word-2-Size: 27, Bigram-Words: ('vesayet', 'dairelerine'), Bigram-Words-Size: 27, Mutual Information 9.002858280666537
Word-1: yerleşim, Word-1-Size: 70, Word-2: yeri, Word-2-Size: 58, Bigram-Words: ('yerleşim', 'yeri'), Bigram-Words-Size: 27, Mutual Information 7.792849583785921
Word-1: yukarıda, Word-1-Size: 88, Word-2: gün, Word-2-Size: 124, Bigram-Words: ('yukarıda', 'gün'), Bigram-Words-Size: 27, Mutual Information 6.366485666834288
